unit_name,lesson_name,LO_name,LO_id,nonscorable
Unit 9,Lesson 3,Audio Roleplay,lo243,TRUE
Unit 9,Lesson 3,Audio Roleplay,lo244,TRUE
Unit 9,Lesson 4,Pre-reading/listening,lo245,FALSE
Unit 9,Lesson 4,readling/listening,lo246,FALSE
Unit 9,Lesson 4,writing practice,lo247,FALSE
Unit 9,Lesson 4,free-writing activity,lo248,TRUE
Unit 9,Lesson 5,grammar and vocab review,lo249,FALSE
Unit 9,Lesson 5,useful language 1,lo250,FALSE
Unit 9,Lesson 5,useful language 2,lo251,FALSE
Unit 9,Lesson 5,Free speaking activity,lo252,TRUE
Unit 10,Lesson 1,Vocab catch-up,lo253,FALSE
Unit 10,Lesson 1,Vocabulary 1,lo254,FALSE
Unit 10,Lesson 1,Vocabulary 2,lo255,FALSE
Unit 10,Lesson 1,Vocabulary 3,lo256,FALSE
Unit 10,Lesson 1,Vocabulary 4,lo257,FALSE
Unit 10,Lesson 1,Grammar catch-up,lo258,FALSE
Unit 10,Lesson 1,Grammar activity 1,lo259,FALSE
Unit 10,Lesson 1,Grammar activity 2,lo260,FALSE
Unit 10,Lesson 1,Grammar activity 3,lo261,FALSE
Unit 10,Lesson 2,Vocab catch-up,lo262,FALSE
Unit 10,Lesson 2,Vocabulary 1,lo263,FALSE
Unit 10,Lesson 2,Vocabulary 2,lo264,FALSE
Unit 10,Lesson 2,Grammar catch-up,lo265,FALSE
Unit 10,Lesson 2,Grammar activity 1,lo266,FALSE
Unit 10,Lesson 2,Grammar activity 2,lo267,FALSE
Unit 10,Lesson 2,Grammar activity 3,lo268,FALSE
Unit 10,Lesson 3,Functional language activity,lo269,FALSE
Unit 10,Lesson 3,Real world strategy,lo270,FALSE
Unit 10,Lesson 3,Audio Roleplay,lo271,TRUE
Unit 10,Lesson 3,Audio Roleplay,lo272,TRUE
Unit 10,Lesson 4,Pre-reading/listening,lo273,FALSE
Unit 10,Lesson 4,readling/listening,lo274,FALSE
Unit 10,Lesson 4,writing practice,lo275,FALSE
Unit 10,Lesson 4,free-writing activity,lo276,TRUE
Unit 10,Lesson 5,grammar and vocab review,lo277,FALSE
Unit 10,Lesson 5,useful language 1,lo278,FALSE
Unit 10,Lesson 5,useful language 2,lo279,FALSE
Unit 10,Lesson 5,Free speaking activity,lo280,TRUE
Unit 11,Lesson 1,Vocab catch-up,lo281,FALSE
Unit 11,Lesson 1,Vocabulary 1,lo282,FALSE
Unit 11,Lesson 1,Vocabulary 2,lo283,FALSE
Unit 11,Lesson 1,Vocabulary 3,lo284,FALSE
Unit 11,Lesson 1,Vocabulary 4,lo285,FALSE
Unit 11,Lesson 1,Grammar catch-up,lo286,FALSE
Unit 11,Lesson 1,Grammar activity 1,lo287,FALSE
Unit 11,Lesson 1,Grammar activity 2,lo288,FALSE
Unit 11,Lesson 1,Grammar activity 3,lo289,FALSE
Unit 11,Lesson 2,Vocab catch-up,lo290,FALSE
Unit 11,Lesson 2,Vocabulary 1,lo291,FALSE
Unit 11,Lesson 2,Vocabulary 2,lo292,FALSE
Unit 11,Lesson 2,Grammar catch-up,lo293,FALSE
Unit 11,Lesson 2,Grammar activity 1,lo294,FALSE
Unit 11,Lesson 2,Grammar activity 2,lo295,FALSE
Unit 11,Lesson 2,Grammar activity 3,lo296,FALSE
Unit 11,Lesson 3,Functional language activity,lo297,FALSE
Unit 11,Lesson 3,Real world strategy,lo298,FALSE
Unit 11,Lesson 3,Audio Roleplay,lo299,TRUE
Unit 11,Lesson 3,Audio Roleplay,lo300,TRUE
Unit 11,Lesson 4,Pre-reading/listening,lo301,FALSE
Unit 11,Lesson 4,readling/listening,lo302,FALSE
Unit 11,Lesson 4,writing practice,lo303,FALSE
Unit 11,Lesson 4,free-writing activity,lo304,TRUE
Unit 11,Lesson 5,grammar and vocab review,lo305,FALSE
Unit 11,Lesson 5,useful language 1,lo306,FALSE
Unit 11,Lesson 5,useful language 2,lo307,FALSE
Unit 11,Lesson 5,Free speaking activity,lo308,TRUE
Unit 12,Lesson 1,Vocab catch-up,lo309,FALSE
Unit 12,Lesson 1,Vocabulary 1,lo310,FALSE
Unit 12,Lesson 1,Vocabulary 2,lo311,FALSE
Unit 12,Lesson 1,Vocabulary 3,lo312,FALSE
Unit 12,Lesson 1,Vocabulary 4,lo313,FALSE
Unit 12,Lesson 1,Grammar catch-up,lo314,FALSE
Unit 12,Lesson 1,Grammar activity 1,lo315,FALSE
Unit 12,Lesson 1,Grammar activity 2,lo316,FALSE
Unit 12,Lesson 1,Grammar activity 3,lo317,FALSE
Unit 12,Lesson 2,Vocab catch-up,lo318,FALSE
Unit 12,Lesson 2,Vocabulary 1,lo319,FALSE
Unit 12,Lesson 2,Vocabulary 2,lo320,FALSE
Unit 12,Lesson 2,Grammar catch-up,lo321,FALSE
Unit 12,Lesson 2,Grammar activity 1,lo322,FALSE
Unit 12,Lesson 2,Grammar activity 2,lo323,FALSE
Unit 12,Lesson 2,Grammar activity 3,lo324,FALSE
Unit 12,Lesson 3,Functional language activity,lo325,FALSE
Unit 12,Lesson 3,Real world strategy,lo326,FALSE
Unit 12,Lesson 3,Audio Roleplay,lo327,TRUE
Unit 12,Lesson 3,Audio Roleplay,lo328,TRUE
Unit 12,Lesson 4,Pre-reading/listening,lo329,FALSE
Unit 12,Lesson 4,readling/listening,lo330,FALSE
Unit 12,Lesson 4,writing practice,lo331,FALSE
Unit 12,Lesson 4,free-writing activity,lo332,TRUE
Unit 12,Lesson 5,grammar and vocab review,lo333,FALSE
Unit 12,Lesson 5,useful language 1,lo334,FALSE
Unit 12,Lesson 5,useful language 2,lo335,FALSE
Unit 12,Lesson 5,Free speaking activity,lo336,TRUE
Games,,Spell or Slime,lo337,TRUE
Games,,Guess the Word,lo338,TRUE
Games,,Word Challenge!,lo339,TRUE
Games,,Sentence Stacker,lo340,TRUE
Games,,Sink or Swim,lo341,TRUE
Games,,Crossword,lo342,TRUE
Games,,Grammar Puzzle,lo343,TRUE
